Time resolution is 1 ps
Block Memory Generator module CPU_Top_tb.cpu.data_memory.inst.native_mem_module.blk_mem_gen_v8_4_8_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module CPU_Top_tb.cpu.inst_memory.inst.native_mem_module.blk_mem_gen_v8_4_8_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time=0 | rst=1 | pc_if=00000000 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000013 | rf_data=00000000 | mem_data=00000000 | state=000
Time=175000 | rst=0 | pc_if=0000000c | pc_id=00000004 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000004 | IF_inst=00a52513 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=185000 | rst=0 | pc_if=0000000c | pc_id=00000004 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00a52513 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=195000 | rst=0 | pc_if=0000000c | pc_id=00000004 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00a52513 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=205000 | rst=0 | pc_if=0000000c | pc_id=00000004 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00a52513 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=215000 | rst=0 | pc_if=0000000c | pc_id=00000004 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00a52513 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=215000 | rst=0 | pc_if=0000000c | pc_id=00000004 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=000005b7 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=225000 | rst=0 | pc_if=00000010 | pc_id=00000008 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=000005b7 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=235000 | rst=0 | pc_if=00000010 | pc_id=00000008 | pc_ex=00000004 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=000005b7 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=245000 | rst=0 | pc_if=00000010 | pc_id=00000008 | pc_ex=00000004 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=000005b7 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=255000 | rst=0 | pc_if=00000010 | pc_id=00000008 | pc_ex=00000004 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=000005b7 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=265000 | rst=0 | pc_if=00000010 | pc_id=00000008 | pc_ex=00000004 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=000005b7 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=265000 | rst=0 | pc_if=00000010 | pc_id=00000008 | pc_ex=00000004 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=0085a283 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=275000 | rst=0 | pc_if=00000014 | pc_id=0000000c | pc_ex=00000004 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=0085a283 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=285000 | rst=0 | pc_if=00000014 | pc_id=0000000c | pc_ex=00000008 | pc_mem=00000000 | pc_wb=00000008 | IF_inst=0085a283 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=295000 | rst=0 | pc_if=00000014 | pc_id=0000000c | pc_ex=00000008 | pc_mem=00000000 | pc_wb=00000008 | IF_inst=0085a283 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=305000 | rst=0 | pc_if=00000014 | pc_id=0000000c | pc_ex=00000008 | pc_mem=00000000 | pc_wb=0000000c | IF_inst=0085a283 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=315000 | rst=0 | pc_if=00000014 | pc_id=0000000c | pc_ex=00000008 | pc_mem=00000000 | pc_wb=0000000c | IF_inst=0085a283 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=315000 | rst=0 | pc_if=00000014 | pc_id=0000000c | pc_ex=00000008 | pc_mem=00000000 | pc_wb=0000000c | IF_inst=00e50533 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=325000 | rst=0 | pc_if=00000018 | pc_id=00000010 | pc_ex=00000008 | pc_mem=00000000 | pc_wb=0000000c | IF_inst=00e50533 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=335000 | rst=0 | pc_if=00000018 | pc_id=00000010 | pc_ex=0000000c | pc_mem=00000000 | pc_wb=0000000c | IF_inst=00e50533 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=345000 | rst=0 | pc_if=00000018 | pc_id=00000010 | pc_ex=0000000c | pc_mem=00000000 | pc_wb=0000000c | IF_inst=00e50533 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=355000 | rst=0 | pc_if=00000018 | pc_id=00000010 | pc_ex=0000000c | pc_mem=00000000 | pc_wb=00000010 | IF_inst=00e50533 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=365000 | rst=0 | pc_if=00000018 | pc_id=00000010 | pc_ex=0000000c | pc_mem=00000000 | pc_wb=00000010 | IF_inst=00e50533 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=365000 | rst=0 | pc_if=00000018 | pc_id=00000010 | pc_ex=0000000c | pc_mem=00000000 | pc_wb=00000010 | IF_inst=00c52223 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=375000 | rst=0 | pc_if=0000001c | pc_id=00000014 | pc_ex=0000000c | pc_mem=00000000 | pc_wb=00000010 | IF_inst=00c52223 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=385000 | rst=0 | pc_if=0000001c | pc_id=00000014 | pc_ex=00000010 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00c52223 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=395000 | rst=0 | pc_if=0000001c | pc_id=00000014 | pc_ex=00000010 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00c52223 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=405000 | rst=0 | pc_if=0000001c | pc_id=00000014 | pc_ex=00000010 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00c52223 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=415000 | rst=0 | pc_if=0000001c | pc_id=00000014 | pc_ex=00000010 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00c52223 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=415000 | rst=0 | pc_if=0000001c | pc_id=00000014 | pc_ex=00000010 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=425000 | rst=0 | pc_if=00000020 | pc_id=00000018 | pc_ex=00000010 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=435000 | rst=0 | pc_if=00000020 | pc_id=00000018 | pc_ex=00000014 | pc_mem=00000010 | pc_wb=00000014 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=445000 | rst=0 | pc_if=00000020 | pc_id=00000018 | pc_ex=00000014 | pc_mem=00000014 | pc_wb=00000014 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=455000 | rst=0 | pc_if=00000020 | pc_id=00000018 | pc_ex=00000014 | pc_mem=00000014 | pc_wb=00000018 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=465000 | rst=0 | pc_if=00000020 | pc_id=00000018 | pc_ex=00000014 | pc_mem=00000014 | pc_wb=00000018 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=475000 | rst=0 | pc_if=00000024 | pc_id=0000001c | pc_ex=00000014 | pc_mem=00000014 | pc_wb=00000018 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=485000 | rst=0 | pc_if=00000024 | pc_id=0000001c | pc_ex=00000018 | pc_mem=00000000 | pc_wb=00000018 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=495000 | rst=0 | pc_if=00000024 | pc_id=0000001c | pc_ex=00000018 | pc_mem=00000000 | pc_wb=00000018 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=505000 | rst=0 | pc_if=00000024 | pc_id=0000001c | pc_ex=00000018 | pc_mem=00000000 | pc_wb=0000001c | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=515000 | rst=0 | pc_if=00000024 | pc_id=0000001c | pc_ex=00000018 | pc_mem=00000000 | pc_wb=0000001c | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=525000 | rst=0 | pc_if=00000028 | pc_id=00000020 | pc_ex=00000018 | pc_mem=00000000 | pc_wb=0000001c | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=535000 | rst=0 | pc_if=00000028 | pc_id=00000020 | pc_ex=0000001c | pc_mem=00000018 | pc_wb=0000001c | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=545000 | rst=0 | pc_if=00000028 | pc_id=00000020 | pc_ex=0000001c | pc_mem=0000001c | pc_wb=0000001c | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=555000 | rst=0 | pc_if=00000028 | pc_id=00000020 | pc_ex=0000001c | pc_mem=0000001c | pc_wb=00000020 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=565000 | rst=0 | pc_if=00000028 | pc_id=00000020 | pc_ex=0000001c | pc_mem=0000001c | pc_wb=00000020 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=575000 | rst=0 | pc_if=0000002c | pc_id=00000024 | pc_ex=0000001c | pc_mem=0000001c | pc_wb=00000020 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=585000 | rst=0 | pc_if=0000002c | pc_id=00000024 | pc_ex=00000020 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=595000 | rst=0 | pc_if=0000002c | pc_id=00000024 | pc_ex=00000020 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=605000 | rst=0 | pc_if=0000002c | pc_id=00000024 | pc_ex=00000020 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=615000 | rst=0 | pc_if=0000002c | pc_id=00000024 | pc_ex=00000020 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=625000 | rst=0 | pc_if=00000030 | pc_id=00000028 | pc_ex=00000020 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=635000 | rst=0 | pc_if=00000030 | pc_id=00000028 | pc_ex=00000024 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=645000 | rst=0 | pc_if=00000030 | pc_id=00000028 | pc_ex=00000024 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=655000 | rst=0 | pc_if=00000030 | pc_id=00000028 | pc_ex=00000024 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=665000 | rst=0 | pc_if=00000030 | pc_id=00000028 | pc_ex=00000024 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=675000 | rst=0 | pc_if=00000034 | pc_id=0000002c | pc_ex=00000024 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=685000 | rst=0 | pc_if=00000034 | pc_id=0000002c | pc_ex=00000028 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=695000 | rst=0 | pc_if=00000034 | pc_id=0000002c | pc_ex=00000028 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=705000 | rst=0 | pc_if=00000034 | pc_id=0000002c | pc_ex=00000028 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=715000 | rst=0 | pc_if=00000034 | pc_id=0000002c | pc_ex=00000028 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=725000 | rst=0 | pc_if=00000038 | pc_id=00000030 | pc_ex=00000028 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=735000 | rst=0 | pc_if=00000038 | pc_id=00000030 | pc_ex=0000002c | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=745000 | rst=0 | pc_if=00000038 | pc_id=00000030 | pc_ex=0000002c | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=755000 | rst=0 | pc_if=00000038 | pc_id=00000030 | pc_ex=0000002c | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=765000 | rst=0 | pc_if=00000038 | pc_id=00000030 | pc_ex=0000002c | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=775000 | rst=0 | pc_if=0000003c | pc_id=00000034 | pc_ex=0000002c | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=785000 | rst=0 | pc_if=0000003c | pc_id=00000034 | pc_ex=00000030 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=795000 | rst=0 | pc_if=0000003c | pc_id=00000034 | pc_ex=00000030 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=805000 | rst=0 | pc_if=0000003c | pc_id=00000034 | pc_ex=00000030 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=815000 | rst=0 | pc_if=0000003c | pc_id=00000034 | pc_ex=00000030 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=825000 | rst=0 | pc_if=00000040 | pc_id=00000038 | pc_ex=00000030 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=835000 | rst=0 | pc_if=00000040 | pc_id=00000038 | pc_ex=00000034 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=845000 | rst=0 | pc_if=00000040 | pc_id=00000038 | pc_ex=00000034 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=855000 | rst=0 | pc_if=00000040 | pc_id=00000038 | pc_ex=00000034 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=865000 | rst=0 | pc_if=00000040 | pc_id=00000038 | pc_ex=00000034 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=875000 | rst=0 | pc_if=00000044 | pc_id=0000003c | pc_ex=00000034 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=885000 | rst=0 | pc_if=00000044 | pc_id=0000003c | pc_ex=00000038 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=895000 | rst=0 | pc_if=00000044 | pc_id=0000003c | pc_ex=00000038 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=905000 | rst=0 | pc_if=00000044 | pc_id=0000003c | pc_ex=00000038 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=915000 | rst=0 | pc_if=00000044 | pc_id=0000003c | pc_ex=00000038 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=925000 | rst=0 | pc_if=00000048 | pc_id=00000040 | pc_ex=00000038 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=935000 | rst=0 | pc_if=00000048 | pc_id=00000040 | pc_ex=0000003c | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=945000 | rst=0 | pc_if=00000048 | pc_id=00000040 | pc_ex=0000003c | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=955000 | rst=0 | pc_if=00000048 | pc_id=00000040 | pc_ex=0000003c | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=965000 | rst=0 | pc_if=00000048 | pc_id=00000040 | pc_ex=0000003c | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=975000 | rst=0 | pc_if=0000004c | pc_id=00000044 | pc_ex=0000003c | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=985000 | rst=0 | pc_if=0000004c | pc_id=00000044 | pc_ex=00000040 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=995000 | rst=0 | pc_if=0000004c | pc_id=00000044 | pc_ex=00000040 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
$stop called at time : 1 us : File "E:/vivado/RV32VI_CPU_new/RV32VI_CPU.srcs/sim_1/new/cpu_top_tb.v" Line 55
