Time resolution is 1 ps
[INST FETCH] @25000 pc=0x00000000 inst=0x00000093 swio_i=0 timer_i=0
[INST FETCH] @255000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @265000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @275000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @285000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @295000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @305000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @315000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @325000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @335000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @345000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @355000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @365000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @375000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @385000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @395000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @405000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @415000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @425000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @435000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @445000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @455000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @465000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @475000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @485000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @495000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[TEST] swio_i asserted at 500000
[INST FETCH] @505000 pc=0x0000000c inst=0x00310223 swio_i=1 timer_i=0
[INST FETCH] @515000 pc=0x00000008 inst=0x002081b3 swio_i=1 timer_i=0
[TEST] swio_i deasserted at 520000
[INST FETCH] @525000 pc=0xxxxxxxxx inst=0xxxxxxxxx swio_i=0 timer_i=0
[INST FETCH] @535000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @545000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @555000 pc=0x00000010 inst=0x00010113 swio_i=0 timer_i=0
[INST FETCH] @565000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @575000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @585000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @595000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @605000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @615000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @625000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @635000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @645000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @655000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @665000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @675000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @685000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @695000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @705000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @715000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @725000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @735000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @745000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @755000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @765000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @775000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @785000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @795000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @805000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @815000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @825000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @835000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @845000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @855000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @865000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @875000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @885000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @895000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @905000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @915000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @925000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @935000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @945000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @955000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @965000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @975000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @985000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @995000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[TEST] timer_i asserted at 1000000
